loan_amount_requested,loan_tenure_months,interest_rate_offered,cibil_score,debt_to_income_ratio,applicant_age,number_of_dependents,fraud_flag,loan_type_Car Loan,loan_type_Education Loan,loan_type_Home Loan,loan_type_Personal Loan,employment_status_Retired,employment_status_Salaried,employment_status_Self-Employed,employment_status_Student,employment_status_Unemployed,property_ownership_status_Owned,property_ownership_status_Rented,gender_Male,gender_Other
592000.0,360.0,7.87,655.0,5.01,32.0,3.0,0,0,0,1,0,0,1,0,0,0,1,0,0,1
926000.0,60.0,14.05,750.0,6.98,26.0,4.0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
374000.0,240.0,10.13,675.0,10.5,25.0,3.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
596000.0,36.0,9.89,778.0,1.77,51.0,1.0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
552000.0,360.0,9.34,688.0,0.0,51.0,2.0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
706000.0,36.0,8.18,771.0,2.07,22.0,4.0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
911000.0,60.0,12.73,661.0,7.66,63.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
306000.0,240.0,10.29,646.0,6.58,30.0,4.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
604000.0,12.0,11.03,661.0,6.82,39.0,3.0,0,0,0,0,1,0,0,0,1,0,1,0,0,1
398000.0,240.0,8.87,664.0,4.75,21.0,2.0,0,0,0,1,0,0,0,0,1,0,0,1,1,0
518000.0,12.0,14.03,704.0,6.1,61.0,3.0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
460000.0,36.0,10.02,750.0,4.67,37.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
464000.0,60.0,8.58,697.0,16.74,28.0,4.0,0,1,0,0,0,0,0,1,0,0,1,0,0,1
100000.0,60.0,11.99,732.0,4.89,25.0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
242000.0,36.0,10.47,645.0,17.74,33.0,1.0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
427000.0,36.0,9.95,606.0,9.24,36.0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
552000.0,24.0,9.48,762.0,0.0,47.0,2.0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
384000.0,360.0,13.39,683.0,7.92,52.0,2.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
702000.0,12.0,7.7,747.0,7.69,28.0,2.0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
100000.0,12.0,10.56,623.0,4.13,50.0,4.0,0,0,0,0,1,0,0,0,1,0,0,1,0,1
437000.0,360.0,8.85,681.0,11.15,24.0,2.0,0,0,0,0,1,0,0,0,1,0,1,0,1,0
778000.0,60.0,12.85,700.0,4.03,58.0,1.0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
502000.0,360.0,9.89,710.0,2.05,53.0,4.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
326000.0,36.0,7.9,745.0,3.88,39.0,1.0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
459000.0,60.0,11.56,799.0,13.31,25.0,4.0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
100000.0,360.0,8.93,681.0,2.58,50.0,4.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
260000.0,36.0,12.25,609.0,0.53,48.0,4.0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
457000.0,120.0,12.83,674.0,4.69,24.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
501000.0,60.0,9.26,727.0,1.6,58.0,3.0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
606000.0,240.0,11.67,794.0,20.77,59.0,2.0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
545000.0,240.0,7.0,770.0,5.23,28.0,3.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
184000.0,240.0,8.7,716.0,0.0,38.0,1.0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
290000.0,360.0,9.92,687.0,13.26,33.0,2.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
748000.0,60.0,7.8,686.0,5.06,39.0,4.0,0,0,0,1,0,0,0,1,0,0,0,1,1,0
807000.0,36.0,10.93,666.0,0.88,32.0,3.0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
270000.0,60.0,9.85,673.0,7.61,52.0,0.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
242000.0,360.0,11.33,645.0,1.7,26.0,4.0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
811000.0,120.0,9.24,717.0,4.33,52.0,2.0,0,0,0,1,0,0,0,0,1,0,0,1,1,0
834000.0,12.0,12.38,803.0,6.45,37.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
603000.0,36.0,9.52,737.0,1.61,29.0,3.0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
619000.0,360.0,7.0,760.0,2.41,56.0,2.0,0,0,0,1,0,0,0,0,1,0,0,1,1,0
351000.0,60.0,8.15,750.0,0.0,45.0,4.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
547000.0,120.0,8.04,694.0,9.77,34.0,0.0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
403000.0,12.0,13.45,759.0,1.52,32.0,3.0,0,0,0,0,1,0,1,0,0,0,0,1,1,0
180000.0,240.0,8.21,742.0,3.3,28.0,3.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
351000.0,36.0,12.74,727.0,7.08,45.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
931000.0,120.0,7.89,640.0,0.74,64.0,2.0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
230000.0,360.0,9.41,755.0,6.55,64.0,3.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
497000.0,60.0,11.02,770.0,8.51,33.0,2.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
718000.0,12.0,8.73,717.0,0.84,24.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
404000.0,240.0,11.41,753.0,1.58,55.0,0.0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
591000.0,120.0,7.0,779.0,4.81,26.0,1.0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
175000.0,120.0,9.85,652.0,10.07,29.0,0.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
301000.0,360.0,13.64,692.0,3.25,51.0,2.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
196000.0,60.0,12.91,759.0,11.81,28.0,0.0,0,1,0,0,0,0,0,0,1,0,0,1,0,1
975000.0,120.0,10.63,704.0,3.34,56.0,4.0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
472000.0,24.0,10.99,617.0,10.29,52.0,0.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
151000.0,36.0,12.04,596.0,0.0,51.0,2.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
314000.0,360.0,9.47,677.0,5.68,57.0,1.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
664000.0,360.0,7.35,704.0,3.78,27.0,2.0,0,0,0,1,0,0,1,0,0,0,1,0,0,1
254000.0,60.0,12.91,730.0,2.65,25.0,2.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1204000.0,60.0,11.94,732.0,6.1,58.0,0.0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
340000.0,12.0,9.45,710.0,10.13,29.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
188000.0,60.0,8.49,643.0,7.01,65.0,2.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
1002000.0,360.0,9.9,710.0,6.3,61.0,1.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
158000.0,36.0,11.2,634.0,2.66,63.0,2.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
656000.0,12.0,10.5,730.0,0.0,40.0,0.0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
192000.0,60.0,8.16,720.0,6.6,37.0,2.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
790000.0,120.0,10.17,816.0,5.77,55.0,3.0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
405000.0,24.0,11.0,689.0,2.12,24.0,3.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
158000.0,12.0,10.54,605.0,6.55,33.0,0.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
329000.0,120.0,8.52,635.0,4.88,55.0,1.0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
458000.0,360.0,7.76,788.0,8.45,51.0,2.0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
118000.0,240.0,7.0,707.0,0.36,50.0,1.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
480000.0,360.0,13.56,666.0,4.12,54.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
350000.0,120.0,8.77,648.0,1.2,36.0,3.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
561000.0,120.0,11.79,593.0,17.97,48.0,1.0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
100000.0,240.0,10.21,651.0,4.53,62.0,1.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
656000.0,12.0,9.86,692.0,11.04,62.0,4.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
205000.0,360.0,10.56,646.0,6.36,39.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
690000.0,240.0,8.22,730.0,0.0,26.0,0.0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
194000.0,240.0,12.5,659.0,5.63,40.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
860000.0,360.0,9.09,685.0,6.3,22.0,1.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
842000.0,36.0,8.23,684.0,6.33,50.0,3.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
170000.0,24.0,10.55,736.0,17.45,42.0,2.0,0,0,1,0,0,0,0,0,0,1,1,0,1,0
132000.0,24.0,13.99,702.0,16.87,35.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
405000.0,120.0,9.95,617.0,12.74,57.0,4.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
783000.0,36.0,10.62,714.0,1.92,53.0,2.0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
893000.0,60.0,7.32,692.0,1.19,58.0,2.0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
268000.0,12.0,8.26,679.0,10.24,45.0,1.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
966000.0,12.0,13.95,633.0,8.31,46.0,4.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
542000.0,60.0,9.73,617.0,3.15,22.0,2.0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
118000.0,120.0,9.07,714.0,5.67,63.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
439000.0,120.0,9.43,671.0,9.08,42.0,1.0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
632000.0,60.0,11.36,707.0,9.46,57.0,3.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
764000.0,36.0,10.62,713.0,5.87,48.0,1.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
458000.0,12.0,10.98,654.0,4.66,33.0,2.0,0,0,0,1,0,1,0,0,0,0,1,0,0,1
621000.0,240.0,10.39,709.0,9.16,23.0,3.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
334000.0,240.0,10.86,715.0,4.87,22.0,4.0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
800000.0,120.0,10.57,664.0,7.23,34.0,2.0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
1106000.0,360.0,10.53,689.0,7.82,27.0,1.0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
100000.0,12.0,9.63,673.0,9.5,49.0,3.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
100000.0,36.0,10.76,698.0,1.49,48.0,3.0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
457000.0,24.0,8.65,647.0,2.58,63.0,3.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
108000.0,240.0,13.24,768.0,0.0,54.0,2.0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
874000.0,12.0,7.34,724.0,2.56,58.0,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
335000.0,360.0,8.41,731.0,5.09,21.0,4.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
844000.0,60.0,10.72,784.0,6.67,46.0,1.0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
348000.0,360.0,9.94,686.0,3.3,30.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
627000.0,60.0,11.2,601.0,8.45,44.0,4.0,0,0,0,1,0,0,0,0,0,1,1,0,1,0
329000.0,240.0,9.54,676.0,7.0,36.0,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
502000.0,24.0,11.81,706.0,0.0,53.0,3.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
413000.0,360.0,8.77,796.0,6.0,59.0,4.0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
439000.0,60.0,8.84,720.0,0.0,51.0,2.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
677000.0,36.0,9.59,652.0,10.46,35.0,2.0,0,0,0,0,1,1,0,0,0,0,0,1,1,0
230000.0,24.0,11.33,730.0,7.41,30.0,3.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
878000.0,360.0,12.38,783.0,1.51,39.0,3.0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
100000.0,360.0,12.99,721.0,4.14,43.0,4.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
852000.0,240.0,11.52,728.0,7.09,23.0,4.0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
519000.0,36.0,13.63,696.0,12.42,51.0,4.0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
458000.0,36.0,7.28,711.0,3.63,62.0,4.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
399000.0,24.0,14.73,779.0,3.05,39.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
420000.0,60.0,12.62,772.0,3.17,65.0,2.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
338000.0,360.0,12.34,768.0,7.97,29.0,3.0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
329000.0,240.0,11.89,685.0,6.2,56.0,4.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
347000.0,240.0,13.07,708.0,4.76,30.0,4.0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
726000.0,120.0,8.64,624.0,4.71,50.0,3.0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
670000.0,60.0,9.96,746.0,8.7,57.0,2.0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
521000.0,240.0,8.06,710.0,2.54,36.0,1.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
100000.0,36.0,11.23,763.0,5.24,27.0,1.0,0,0,0,1,0,1,0,0,0,0,1,0,0,1
880000.0,24.0,11.27,637.0,0.0,64.0,4.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
588000.0,12.0,9.7,613.0,4.84,58.0,0.0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
258000.0,360.0,9.32,683.0,0.0,28.0,2.0,1,1,0,0,0,0,1,0,0,0,1,0,1,0
289000.0,24.0,11.78,727.0,2.48,43.0,1.0,0,1,0,0,0,0,0,0,1,0,1,0,1,0
100000.0,24.0,9.88,658.0,5.39,27.0,1.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
754000.0,120.0,9.22,609.0,7.73,31.0,2.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
279000.0,12.0,12.57,749.0,17.91,56.0,0.0,0,0,0,1,0,0,0,0,0,1,1,0,1,0
1112000.0,360.0,10.78,763.0,2.48,34.0,4.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
392000.0,36.0,10.12,801.0,17.93,31.0,3.0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
763000.0,360.0,8.62,638.0,20.23,49.0,4.0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
100000.0,240.0,11.41,739.0,13.68,55.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
445000.0,360.0,8.56,636.0,1.23,29.0,3.0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
430000.0,120.0,7.2,753.0,9.04,53.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
292000.0,120.0,11.63,663.0,0.0,60.0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
371000.0,24.0,11.09,728.0,5.13,48.0,3.0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
274000.0,60.0,14.52,671.0,7.33,49.0,0.0,0,1,0,0,0,0,0,0,0,1,0,1,0,1
978000.0,36.0,8.12,633.0,0.21,59.0,1.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
795000.0,60.0,11.63,674.0,3.14,62.0,1.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
781000.0,36.0,9.37,673.0,3.04,63.0,0.0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
101000.0,240.0,7.98,689.0,19.35,33.0,1.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
694000.0,240.0,8.96,724.0,11.06,35.0,0.0,0,1,0,0,0,0,0,1,0,0,1,0,1,0
100000.0,12.0,8.72,723.0,2.68,45.0,0.0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
123000.0,60.0,9.49,686.0,6.46,29.0,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
173000.0,120.0,7.0,732.0,6.78,59.0,1.0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
699000.0,240.0,8.03,806.0,0.0,25.0,3.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
100000.0,36.0,10.71,696.0,15.72,49.0,3.0,0,0,1,0,0,0,0,0,0,1,1,0,0,1
379000.0,12.0,10.04,703.0,5.68,64.0,1.0,0,1,0,0,0,0,0,0,1,0,1,0,1,0
519000.0,36.0,9.84,695.0,11.13,28.0,3.0,0,0,0,1,0,1,0,0,0,0,1,0,0,1
220000.0,36.0,7.69,656.0,5.11,35.0,2.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
440000.0,360.0,10.35,766.0,5.12,60.0,3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
489000.0,24.0,10.11,648.0,13.0,24.0,1.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
581000.0,24.0,13.21,747.0,5.57,25.0,2.0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
982000.0,360.0,8.52,739.0,18.75,29.0,2.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
155000.0,120.0,9.92,725.0,3.0,64.0,3.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
731000.0,12.0,9.2,770.0,3.99,55.0,0.0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
596000.0,60.0,10.48,646.0,5.08,65.0,4.0,0,1,0,0,0,0,0,1,0,0,1,0,1,0
492000.0,36.0,9.05,704.0,6.22,44.0,3.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
276000.0,12.0,12.29,618.0,7.36,29.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
739000.0,240.0,11.99,686.0,3.26,34.0,3.0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
692000.0,360.0,10.45,710.0,17.24,28.0,4.0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
423000.0,12.0,11.82,680.0,0.0,52.0,1.0,0,0,0,1,0,0,0,0,1,0,0,1,1,0
468000.0,240.0,9.72,725.0,14.79,34.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
100000.0,240.0,9.04,724.0,4.16,34.0,0.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
619000.0,12.0,9.9,739.0,2.03,60.0,0.0,1,0,1,0,0,0,0,1,0,0,1,0,1,0
943000.0,360.0,7.0,663.0,5.06,47.0,3.0,0,0,0,1,0,0,0,0,0,1,0,1,0,1
100000.0,12.0,7.78,707.0,8.1,48.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
522000.0,24.0,8.06,681.0,7.64,53.0,0.0,0,1,0,0,0,0,0,0,0,1,0,1,0,1
629000.0,240.0,10.64,667.0,6.02,43.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
424000.0,24.0,10.23,723.0,4.35,29.0,4.0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
393000.0,360.0,8.52,703.0,5.7,28.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
395000.0,12.0,9.32,647.0,5.49,26.0,0.0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
731000.0,240.0,10.5,733.0,2.52,40.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
692000.0,12.0,8.32,691.0,15.0,25.0,1.0,0,1,0,0,0,0,0,1,0,0,1,0,1,0
756000.0,60.0,12.03,745.0,6.9,40.0,1.0,0,1,0,0,0,0,1,0,0,0,0,1,1,0
404000.0,360.0,13.45,769.0,0.99,53.0,1.0,0,0,0,0,1,0,0,0,0,1,1,0,1,0
619000.0,24.0,7.88,731.0,8.01,36.0,3.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
779000.0,240.0,10.11,715.0,9.16,47.0,3.0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
274000.0,60.0,11.7,740.0,8.47,46.0,1.0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
422000.0,240.0,11.46,778.0,3.31,46.0,3.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
353000.0,60.0,11.98,685.0,4.3,56.0,2.0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
776000.0,24.0,10.78,727.0,3.24,31.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
769000.0,60.0,9.96,746.0,0.0,35.0,0.0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
1254000.0,24.0,8.84,759.0,3.7,55.0,1.0,0,1,0,0,0,0,0,0,0,1,1,0,1,0
447000.0,240.0,13.5,704.0,12.58,36.0,4.0,0,1,0,0,0,0,0,1,0,0,1,0,1,0
357000.0,60.0,9.67,728.0,0.45,59.0,0.0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
613000.0,120.0,9.62,734.0,4.45,57.0,1.0,0,1,0,0,0,0,0,0,1,0,1,0,1,0
938000.0,36.0,7.0,758.0,6.18,56.0,2.0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
1253000.0,60.0,9.46,699.0,6.5,31.0,3.0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
613000.0,120.0,8.65,719.0,12.66,24.0,4.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
406000.0,120.0,10.15,801.0,8.54,21.0,4.0,0,0,0,0,1,1,0,0,0,0,0,1,1,0
218000.0,24.0,12.25,725.0,15.99,41.0,1.0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
422000.0,12.0,12.64,718.0,14.22,53.0,0.0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
265000.0,360.0,12.1,572.0,10.06,36.0,3.0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
173000.0,12.0,10.71,699.0,6.38,43.0,4.0,0,0,1,0,0,0,0,0,1,0,0,1,1,0
337000.0,36.0,8.74,764.0,7.67,61.0,1.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
775000.0,36.0,12.48,636.0,9.03,30.0,4.0,0,1,0,0,0,1,0,0,0,0,1,0,1,0
917000.0,36.0,10.67,692.0,4.02,23.0,4.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
475000.0,24.0,9.77,667.0,5.34,21.0,3.0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
149000.0,36.0,9.88,733.0,6.52,37.0,2.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
683000.0,36.0,14.08,708.0,0.0,62.0,2.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
705000.0,360.0,8.2,661.0,9.73,60.0,3.0,0,0,1,0,0,1,0,0,0,0,0,1,1,0
1048000.0,36.0,9.04,654.0,4.76,33.0,3.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
